"County","ELL2005","ELL2012","Difference","PropPre1950","Peninsula","RandomRetest"
"Alcona County",0.0225,0,-0.0225,0.210222978,"Lower","Not Selected"
"Alger County",0,0,0,0.325788062,"Upper","Not Selected"
"Allegan County",0.0092,0.002932551,-0.006267449,0.273653331,"Lower","Selected"
"Alpena County",0.0056,0.003412969,-0.002187031,0.285826411,"Lower","Not Selected"
"Antrim County",0,0,0,0.225778661,"Lower","Not Selected"
"Arenac County",0,0,0,0.20621144,"Lower","Not Selected"
"Baraga County",0,0,0,0.34895271,"Lower","Not Selected"
"Barry County",0.006,0.007662835,0.001662835,0.293558385,"Lower","Not Selected"
"Bay County",0.0181,0.008843036,-0.009256964,0.371303018,"Lower","Not Selected"
"Benzie County",0,0.004484305,0.004484305,0.273079907,"Lower","Not Selected"
"Berrien County",0.0318,0.007779349,-0.024020651,0.326856832,"Lower","Selected"
"Branch County",0.0044,0.001492537,-0.002907463,0.365099385,"Lower","Selected"
"Calhoun County",0.0124,0.00618238,-0.00621762,0.363991072,"Lower","Selected"
"Charlevoix County",0,0.003984064,0.003984064,0.304346006,"Lower","Not Selected"
"Cheboygan County",0.0094,0.003745318,-0.005654682,0.256668835,"Lower","Not Selected"
"Chippewa County",0.0023,0,-0.0023,0.216969185,"Lower","Not Selected"
"Clare County",0.0039,0,-0.0039,0.284457025,"Lower","Selected"
"Clinton County",0.002,0,-0.002,0.130550182,"Lower","Not Selected"
"Crawford County",0,0,0,0.287210719,"Lower","Selected"
"Delta County",0.0023,0.004651163,0.002351163,0.195678152,"Lower","Not Selected"
"Dickinson County",0.012,0,-0.012,0.376944285,"Lower","Selected"
"Eaton County",0.0039,0,-0.0039,0.415997665,"Lower","Not Selected"
"Emmet County",0,0.003846154,0.003846154,0.23424664,"Lower","Not Selected"
"Genesee County",0.0141,0.002685892,-0.011414108,0.276921419,"Lower","Selected"
"Gladwin County",0.0047,0,-0.0047,0.228361379,"Lower","Not Selected"
"Gogebic County",0,0,0,0.13709294,"Upper","Not Selected"
"Grand Traverse County",0.0135,0,-0.0135,0.540548021,"Lower","Selected"
"Gratiot County",0,0,0,0.178347971,"Lower","Not Selected"
"Hillsdale County",0.0156,0,-0.0156,0.39836298,"Lower","Not Selected"
"Houghton County",0.0022,0.002252252,5.2252e-05,0.389568577,"Upper","Not Selected"
"Huron County",0.0074,0,-0.0074,0.54789272,"Lower","Selected"
"Ingham County",0.0106,0.00198939,-0.00861061,0.334605972,"Lower","Not Selected"
"Ionia County",0.0091,0.004807692,-0.004292308,0.258917397,"Lower","Not Selected"
"Iosco County",0,0.006410256,0.006410256,0.378533127,"Lower","Not Selected"
"Iron County",0,0,0,0.198267424,"Upper","Selected"
"Isabella County",0.0147,0.001669449,-0.013030551,0.444824441,"Lower","Not Selected"
"Jackson County",0.0173,0.007838746,-0.009461254,0.191984671,"Lower","Not Selected"
"Kalamazoo County",0.0199,0.004158004,-0.015741996,0.356706832,"Lower","Not Selected"
"Kalkaska County",0,0.001686341,0.001686341,0.245702771,"Lower","Not Selected"
"Kent County",0.0281,0.004383962,-0.023716038,0.151820366,"Lower","Not Selected"
"Keweenaw County",0,0,0,0.267566964,"Upper","Not Selected"
"Lake County",0,0,0,0.549204985,"Lower","Not Selected"
"Lapeer County",0.0093,0.007989348,-0.001310652,0.151133501,"Lower","Selected"
"Leelanau County",0,0,0,0.221556886,"Lower","Not Selected"
"Lenawee County",0.021,0.003941441,-0.017058559,0.219673611,"Lower","Not Selected"
"Livingston County",0.0067,0.001876173,-0.004823827,0.3861299,"Lower","Not Selected"
"Luce County",0,0,0,0.137018619,"Upper","Not Selected"
"Mackinac County",0.0093,0,-0.0093,0.299650699,"Upper","Not Selected"
"Macomb County",0.003,0.001598977,-0.001401023,0.280569425,"Lower","Not Selected"
"Manistee County",0,0.004255319,0.004255319,0.108522025,"Lower","Not Selected"
"Marquette County",0.0047,0.008213552,0.003513552,0.359445067,"Upper","Selected"
"Mason County",0.004,0,-0.004,0.326155063,"Lower","Not Selected"
"Mecosta County",0.0044,0.009174312,0.004774312,0.311398867,"Lower","Selected"
"Menominee County",0.0045,0,-0.0045,0.220129638,"Upper","Not Selected"
"Midland County",0.0092,0.001858736,-0.007341264,0.384045751,"Lower","Selected"
"Missaukee County",0,0,0,0.168747781,"Lower","Not Selected"
"Monroe County",0.0069,0.001049318,-0.005850682,0.205660596,"Lower","Not Selected"
"Montcalm County",0.0105,0.001481481,-0.009018519,0.282640647,"Lower","Not Selected"
"Montmorency County",0.01,0,-0.01,0.281042471,"Lower","Not Selected"
"Muskegon County",0.0258,0.005588674,-0.020211326,0.183914267,"Lower","Not Selected"
"Newaygo County",0.0017,0,-0.0017,0.29839839,"Lower","Not Selected"
"Oakland County",0.0182,0.002040965,-0.016159035,0.227135592,"Lower","Selected"
"Oceana County",0.0067,0.001834862,-0.004865138,0.159321228,"Lower","Not Selected"
"Ogemaw County",0,0,0,0.26837231,"Lower","Not Selected"
"Ontonagon County",0,0,0,0.182874578,"Upper","Selected"
"Osceola County",0,0.00390625,0.00390625,0.434122872,"Lower","Selected"
"Oscoda County",0,0,0,0.241889053,"Lower","Not Selected"
"Otsego County",0,0,0,0.183429229,"Lower","Not Selected"
"Ottawa County",0.0071,0.002957486,-0.004142514,0.125981308,"Lower","Not Selected"
"Presque Isle County",0,0,0,0.180125725,"Lower","Not Selected"
"Roscommon County",0,0,0,0.276387487,"Lower","Selected"
"Saginaw County",0.0165,0.005390836,-0.011109164,0.160630058,"Lower","Selected"
"St. Clair County",0.0086,0.002516356,-0.006083644,0.293152447,"Lower","Not Selected"
"St. Joseph County",0.0099,0.005252101,-0.004647899,0.295542939,"Lower","Not Selected"
"Sanilac County",0.0056,0.004301075,-0.001298925,0.347885145,"Lower","Not Selected"
"Schoolcraft County",0,0,0,0.34662663,"Upper","Not Selected"
"Shiawassee County",0.0028,0.001771479,-0.001028521,0.330877193,"Lower","Not Selected"
"Tuscola County",0.0016,0.0013947,-0.0002053,0.359335786,"Lower","Not Selected"
"Washtenaw County",0.008,0.001090909,-0.006909091,0.328300111,"Lower","Not Selected"
"Wayne County",0.0509,0.010725253,-0.040174747,0.294422369,"Lower","Not Selected"
"Wexford County",0.0043,0,-0.0043,0.192555066,"Lower","Not Selected"
"",NA,NA,NA,0.384663709,"Lower","Not Selected"
"",NA,NA,NA,0.262103281,"Lower","Not Selected"
